n_cores,n_train,n_test,n_tiles,n_reg,n_streams,i_loop,time
48,16384,16384,2,8,16,1,2.246220350265503
48,16384,16384,2,8,16,2,2.253098726272583
48,16384,16384,2,8,16,3,2.2492709159851074
48,16384,16384,2,8,16,4,2.2454216480255127
48,16384,16384,2,8,16,5,2.2527029514312744
48,16384,16384,2,8,16,6,2.2465991973876953
48,16384,16384,2,8,16,7,2.238877534866333
48,16384,16384,2,8,16,8,2.2522478103637695
48,16384,16384,2,8,16,9,2.2466647624969482
48,16384,16384,2,8,16,10,2.2544243335723877
48,16384,16384,2,8,32,0,2.392568349838257
48,16384,16384,2,8,32,1,2.267728567123413
48,16384,16384,2,8,32,2,2.263394355773926
48,16384,16384,2,8,32,3,2.2660109996795654
48,16384,16384,2,8,32,4,2.2619786262512207
48,16384,16384,2,8,32,5,2.263016700744629
48,16384,16384,2,8,32,6,2.2640573978424072
48,16384,16384,2,8,32,7,2.2663300037384033
48,16384,16384,2,8,32,8,2.2607555389404297
48,16384,16384,2,8,32,9,2.2633957862854004
48,16384,16384,2,8,32,10,2.265273094177246
48,16384,16384,2,8,64,0,2.3968491554260254
48,16384,16384,2,8,64,1,2.317199230194092
48,16384,16384,2,8,64,2,2.3081090450286865
48,16384,16384,2,8,64,3,2.305267333984375
48,16384,16384,2,8,64,4,2.2999093532562256
48,16384,16384,2,8,64,5,2.3001503944396973
48,16384,16384,2,8,64,6,2.303370475769043
48,16384,16384,2,8,64,7,2.300994396209717
48,16384,16384,2,8,64,8,2.2965619564056396
48,16384,16384,2,8,64,9,2.295954942703247
48,16384,16384,2,8,64,10,2.304050922393799
48,16384,16384,2,8,128,0,2.4315757751464844
48,16384,16384,2,8,128,1,2.3836424350738525
48,16384,16384,2,8,128,2,2.3841538429260254
48,16384,16384,2,8,128,3,2.379356622695923
48,16384,16384,2,8,128,4,2.3818960189819336
48,16384,16384,2,8,128,5,2.3775413036346436
48,16384,16384,2,8,128,6,2.3823046684265137
48,16384,16384,2,8,128,7,2.3825523853302
48,16384,16384,2,8,128,8,2.3815176486968994
48,16384,16384,2,8,128,9,2.3758704662323
48,16384,16384,2,8,128,10,2.3684558868408203
48,16384,16384,4,8,1,0,2.388524293899536
48,16384,16384,4,8,1,1,2.2382524013519287
48,16384,16384,4,8,1,2,2.23429536819458
48,16384,16384,4,8,1,3,2.2377586364746094
48,16384,16384,4,8,1,4,2.2377877235412598
48,16384,16384,4,8,1,5,2.2385003566741943
48,16384,16384,4,8,1,6,2.2367327213287354
48,16384,16384,4,8,1,7,2.2415618896484375
48,16384,16384,4,8,1,8,2.2374374866485596
48,16384,16384,4,8,1,9,2.235445499420166
48,16384,16384,4,8,1,10,2.2345383167266846
48,16384,16384,4,8,2,0,2.3910791873931885
48,16384,16384,4,8,2,1,2.2237024307250977
48,16384,16384,4,8,2,2,2.224832534790039
48,16384,16384,4,8,2,3,2.2269415855407715
48,16384,16384,4,8,2,4,2.2256741523742676
